t_UTC+2,Te,RHe,Rdif,Rglob,ws,wd,precip
2011-01-31 00:00:00,-14.60,89.00,0.00,0.00,0.70,254.00,0.00
2011-01-31 01:00:00,-13.60,92.00,0.00,0.00,1.70,217.00,0.00
2011-01-31 02:00:00,-12.50,94.00,0.00,0.00,0.90,211.00,0.00
2011-01-31 03:00:00,-11.10,91.00,0.00,0.00,0.90,135.00,0.00
2011-01-31 04:00:00,-9.30,94.00,0.00,0.00,1.00,142.00,0.00
2011-01-31 05:00:00,-8.20,94.00,0.00,0.00,1.90,160.00,0.00
2011-01-31 06:00:00,-6.80,93.00,0.00,0.00,1.10,153.00,0.00
2011-01-31 07:00:00,-5.30,94.00,0.00,0.00,1.50,144.00,0.00
2011-01-31 08:00:00,-4.50,88.00,0.00,0.00,3.30,195.00,0.00
2011-01-31 09:00:00,-4.70,89.00,8.00,9.00,4.10,186.00,0.00
2011-01-31 10:00:00,-4.40,87.00,21.00,20.00,4.80,200.00,0.00
2011-01-31 11:00:00,-2.80,90.00,30.00,30.00,5.50,212.00,0.00
2011-01-31 12:00:00,-2.30,85.00,42.00,42.00,7.00,230.00,0.00
2011-01-31 13:00:00,-2.80,87.00,36.00,37.00,6.60,257.00,0.00
2011-01-31 14:00:00,-2.90,88.00,41.00,42.00,5.50,244.00,0.00
2011-01-31 15:00:00,-2.70,90.00,34.00,35.00,4.60,246.00,0.30
2011-01-31 16:00:00,-2.70,93.00,24.00,25.00,4.10,242.00,0.30
2011-01-31 17:00:00,-2.20,91.00,0.00,0.00,5.20,251.00,0.00
2011-01-31 18:00:00,-2.20,88.00,0.00,0.00,5.20,250.00,0.00
2011-01-31 19:00:00,-2.50,86.00,0.00,0.00,4.00,251.00,0.00
2011-01-31 20:00:00,-3.00,88.00,0.00,0.00,4.20,253.00,0.00
2011-01-31 21:00:00,-2.60,88.00,0.00,0.00,3.10,254.00,0.00
2011-01-31 22:00:00,-1.60,85.00,0.00,0.00,2.80,248.00,0.00
2011-01-31 23:00:00,-1.10,84.00,0.00,0.00,3.00,238.00,0.00
2011-02-01 00:00:00,-1.30,85.00,0.00,0.00,3.40,248.00,0.00
2011-02-01 01:00:00,-2.40,87.00,0.00,0.00,2.90,262.00,0.00
2011-02-01 02:00:00,-2.80,90.00,0.00,0.00,3.50,244.00,0.00
2011-02-01 03:00:00,-2.80,90.00,0.00,0.00,2.10,244.00,0.00
2011-02-01 04:00:00,-1.00,85.00,0.00,0.00,4.00,267.00,0.00
2011-02-01 05:00:00,-0.70,83.00,0.00,0.00,7.10,286.00,0.00
2011-02-01 06:00:00,-0.60,83.00,0.00,0.00,6.10,280.00,0.00
2011-02-01 07:00:00,-0.60,83.00,0.00,0.00,4.70,282.00,0.00
2011-02-01 08:00:00,-1.30,86.00,0.00,0.00,4.60,277.00,0.00
2011-02-01 09:00:00,-3.10,90.00,9.00,11.00,3.00,270.00,0.00
2011-02-01 10:00:00,-2.50,88.00,25.00,78.00,4.20,271.00,0.00
2011-02-01 11:00:00,-0.90,80.00,65.00,86.00,1.40,268.00,0.00
2011-02-01 12:00:00,-0.90,83.00,66.00,69.00,2.20,244.00,0.00
2011-02-01 13:00:00,-0.80,85.00,96.00,99.00,1.30,228.00,0.00
2011-02-01 14:00:00,-0.40,85.00,86.00,93.00,1.40,220.00,0.00
2011-02-01 15:00:00,-0.10,85.00,42.00,47.00,0.80,129.00,0.00
2011-02-01 16:00:00,-0.60,88.00,13.00,14.00,0.90,148.00,0.00
2011-02-01 17:00:00,-2.70,95.00,0.00,0.00,1.90,220.00,0.00
2011-02-01 18:00:00,-2.50,97.00,0.00,0.00,1.60,198.00,0.00
2011-02-01 19:00:00,-1.80,94.00,0.00,0.00,2.00,208.00,0.00
2011-02-01 20:00:00,-1.30,97.00,0.00,0.00,2.20,185.00,0.50
2011-02-01 21:00:00,-1.10,97.00,0.00,0.00,1.50,191.00,0.30
2011-02-01 22:00:00,-1.00,98.00,0.00,0.00,1.50,163.00,0.10
2011-02-01 23:00:00,-0.60,99.00,0.00,0.00,2.00,172.00,0.30
2011-02-02 00:00:00,-0.40,99.00,0.00,0.00,1.80,181.00,0.30
2011-02-02 01:00:00,-0.30,99.00,0.00,0.00,1.70,174.00,0.30
2011-02-02 02:00:00,-0.20,99.00,0.00,0.00,2.70,191.00,0.20
2011-02-02 03:00:00,0.10,99.00,0.00,0.00,2.50,210.00,0.10
2011-02-02 04:00:00,0.10,99.00,0.00,0.00,1.90,204.00,0.20
2011-02-02 05:00:00,0.10,99.00,0.00,0.00,2.30,220.00,0.20
2011-02-02 06:00:00,0.20,99.00,0.00,0.00,2.80,223.00,0.00
2011-02-02 07:00:00,0.40,99.00,0.00,0.00,2.70,225.00,0.00
2011-02-02 08:00:00,0.40,99.00,0.00,0.00,2.70,242.00,0.00
2011-02-02 09:00:00,0.40,99.00,3.00,4.00,3.00,262.00,0.00
2011-02-02 10:00:00,0.40,99.00,32.00,33.00,2.40,262.00,0.70
2011-02-02 11:00:00,0.70,99.00,88.00,90.00,1.90,271.00,0.00
2011-02-02 12:00:00,1.40,98.00,63.00,65.00,3.40,276.00,0.00
2011-02-02 13:00:00,1.20,97.00,55.00,56.00,3.80,280.00,0.00
2011-02-02 14:00:00,1.10,97.00,53.00,54.00,4.90,287.00,0.00
